date_done;number_of_task;card_number;numbermarki;position;countpos;massaonepos;perimeter;full_mass;full_perimeter
2020-04-04;150016;13810;œ10√1Õ;12;76;0.866;412.0;65.816;31312.0
2020-04-04;150020;13747;”222 /Õ;1;4;3.842;1260.0;15.368;5040.0
2020-04-04;149959;13790;‘œ.325.1.750.9.01;4;19;6.105;1120.0;115.995;21280.0
2020-04-04;149959;13790;‘œ.325.1.750.9.01;3;38;2.097;720.0;79.68599999999999;27360.0
2020-04-04;149958;13794;‘œ.325.1.750.9.01;2;76;0.611;460.0;46.436;34960.0
2020-04-04;149959;13790;‘—.325.1.800.9;7;48;0.553;440.0;26.544000000000004;21120.0
2020-04-04;149958;13794;‘—.325.1.800.9;7;28;0.553;440.0;15.484000000000002;12320.0
2020-04-04;149958;13794;‘—.325.1.800.9;2;76;0.713;480.0;54.187999999999995;36480.0
2020-04-04;149744;13750;”299;11;8;14.929;2260.0;119.432;18080.0
2020-04-04;150016;13810;—10√15Õ;12;76;0.995;412.0;75.62;31312.0
2020-04-04;149997;13803;‘œ.325.1.750.9.02;3;2;2.097;720.0;4.194;1440.0
2020-04-04;149997;13803;‘œ.325.1.750.9.01;3;2;2.097;720.0;4.194;1440.0
2020-04-04;150020;13747;—10√4”Ã2;6;6;0.75;510.0;4.5;3060.0
2020-04-04;150020;13747;”293;2;3;1.995;800.0;5.985;2400.0
2020-04-04;150020;13747;”262;16;1;2.519;840.0;2.519;840.0
2020-04-04;150020;13747;”222 /“;2;4;3.842;1260.0;15.368;5040.0
2020-04-04;149744;13750;”298;10;8;14.929;2260.0;119.432;18080.0
2020-04-04;150020;13747;”287;28;5;4.782;1280.0;23.91;6400.0
2020-04-04;150020;13747;”222 /Õ;1;2;3.842;1260.0;7.684;2520.0
2020-04-04;150020;13747;”152;152;7;1.997;760.0;13.979000000000001;5320.0
2020-04-04;150020;13747;”162 Õ;1622;8;3.347;1190.0;26.776;9520.0
2020-04-04;150020;13747;”162 “;1621;8;3.347;1190.0;26.776;9520.0
2020-04-04;150020;13747;”293;2;8;1.995;800.0;15.96;6400.0
2020-04-04;149745;13749;—10√4”Ã2;8;18;31.781;2560.0;572.058;46080.0
2020-04-04;149745;13749;”149;3;4;3.042;1210.0;12.168;4840.0
2020-04-04;149745;13749;”149;3;8;3.042;1210.0;24.336;9680.0
2020-04-04;149744;13750;—10√4”Ã2;8;1;31.781;2560.0;31.781;2560.0
2020-04-04;149744;13750;”150;150;4;12.472;2070.0;49.888;8280.0
2020-04-04;149744;13750;”151;151;4;12.472;2070.0;49.888;8280.0
2020-04-04;149744;13750;”298;10;4;14.929;2260.0;59.716;9040.0
2020-04-04;149958;13794;‘œ.325.1.750.9.02;2;76;0.611;460.0;46.436;34960.0
2020-04-04;149958;13794;‘œ.325.1.750.9.02;3;31;2.097;720.0;65.007;22320.0
2020-04-04;149959;13790;‘œ.325.1.750.9.02;3;7;2.097;720.0;14.679;5040.0
2020-04-04;150009;13751;—10√8Ã2“;11;21;0.776;620.0;16.296;13020.0
2020-04-04;149997;13803;”263;4;4;3.428;1300.0;13.712;5200.0
2020-04-04;149997;13803;”263;4;8;3.428;1300.0;27.424;10400.0
2020-04-04;149997;13803;—208;9;4;24.131;2700.0;96.524;10800.0
2020-04-04;149959;13790;—10√4Ã2;8;4;31.781;2560.0;127.124;10240.0
2020-04-04;149997;13803;”263;4;8;3.428;1300.0;27.424;10400.0
2020-04-04;149997;13803;”263;3;5;11.638;1720.0;58.19;8600.0
2020-04-04;150016;13810;œ10√1Õ;12;4;0.866;412.0;3.464;1648.0
2020-04-04;150016;13810;—10√15Õ;12;4;0.995;412.0;3.98;1648.0
2020-04-04;149997;13803;—209;9;8;19.551;2700.0;156.408;21600.0
2020-04-04;149959;13790;‘œ.325.1.750.9.02;4;19;11.586;1540.0;220.13400000000001;29260.0
2020-04-04;150009;13751;¡1;118;22;6.548;1324.0;144.056;29128.0
2020-04-04;149997;13803;—208;8;8;19.551;2700.0;156.408;21600.0
2020-04-04;150016;13810;—10√8Ã2“;17;45;11.502;1400.0;517.59;63000.0
2020-04-04;150009;13751;”149;4;8;8.978;1560.0;71.824;12480.0
2020-04-04;150009;13751;”149;2;8;12.421;1860.0;99.368;14880.0
2020-04-04;150009;13751;”151;151;8;12.472;2070.0;99.776;16560.0
2020-04-04;150009;13751;”150;150;8;12.472;2070.0;99.776;16560.0
2020-04-04;150009;13751;”149;4;4;8.978;1560.0;35.912;6240.0
2020-04-04;150009;13751;”149;2;4;12.421;1860.0;49.684;7440.0
2020-04-04;149958;13794;‘—.325.1.800.9;7;40;0.553;440.0;22.12;17600.0
2020-04-04;149958;13794;‘—.325.1.800.9;2;288;0.713;480.0;205.344;138240.0
2020-04-04;149997;13803;‘œ.325.1.750.9.02;3;6;2.097;720.0;12.582;4320.0
2020-04-04;149997;13803;‘œ.325.1.750.9.01;3;6;2.097;720.0;12.582;4320.0
2020-04-04;149744;13750;”299;11;4;14.929;2260.0;59.716;9040.0
2020-04-03;149777;13761;‘—.325.1.800.9;4;18;1.069;840.0;19.241999999999997;15120.0
2020-04-03;149777;13761;œ10√1Õ;103;4;62.634;7270.0;250.536;29080.0
2020-04-03;149777;13761;œ10√1Õ;101;4;48.023;5536.0;192.092;22144.0
2020-04-03;149777;13761;œ10√1Õ;15;10;0.365;470.0;3.65;4700.0
